%D;pD;%X;pX;pc;pt
5;55;35;25;53.09701492537314;908.679104477612
5;55;35;35;51.58706467661692;493.37064676616916
5;55;35;45;53.61194029850746;415.8756218905473
5;55;35;55;51.10696517412935;449.1592039800995
5;55;35;65;55.04228855721393;537.592039800995
5;55;35;75;52.07213930348259;745.4850746268656
5;55;35;85;53.26865671641791;1139.7462686567164
5;55;35;95;54.07213930348259;908.0845771144278
5;55;45;5;55.44776119402985;1387.7636815920398
5;55;45;15;55.04477611940298;550.639303482587
5;55;45;25;55.156716417910445;1015.9751243781094
5;55;45;35;52.62935323383085;535.8830845771145
5;55;45;45;52.83830845771144;1124.721393034826
5;55;45;55;52.35572139303483;3181.820895522388
5;55;45;65;54.10696517412935;663.0746268656717
5;55;45;75;54.43781094527363;1437.370646766169
5;55;45;85;54.71393034825871;435.0273631840796
5;55;45;95;54.514925373134325;446.66915422885575
5;55;55;5;56.004975124378106;528.4651741293533
5;55;55;15;51.28358208955224;605.6965174129353
5;55;55;25;52.07960199004975;646.6517412935324
5;55;55;35;54.482587064676615;723.8805970149253
5;55;55;45;53.62189054726368;957.1094527363184
5;55;55;55;52.89054726368159;789.4328358208955
5;55;55;65;51.95522388059702;403.0223880597015
5;55;55;75;53.8134328358209;734.8159203980099
5;55;55;85;53.09701492537314;820.1069651741293
5;55;55;95;51.13681592039801;449.14179104477614
5;55;65;5;52.101990049751244;848.5149253731344
5;55;65;15;52.43532338308458;392.0124378109453
5;55;65;25;51.78358208955224;642.2089552238806
5;55;65;35;52.681592039801;956.4825870646766
5;55;65;45;52.76119402985075;981.5696517412936
5;55;65;55;54.94776119402985;552.6840796019901
5;55;65;65;53.98009950248756;871.3034825870647
5;55;65;75;55.069651741293534;754.681592039801
5;55;65;85;56.256218905472636;665.6243781094528
5;55;65;95;52.50248756218905;538.9601990049752
5;55;75;5;53.59701492537314;1013.9004975124378
5;55;75;15;53.32835820895522;394.5
5;55;75;25;53.90298507462686;561.7562189054727
5;55;75;35;52.649253731343286;425.21144278606965
5;55;75;45;53.94776119402985;472.59203980099505
5;55;75;55;53.58955223880597;1231.8606965174129
5;55;75;65;53.614427860696516;1058.0074626865671
5;55;75;75;55.44278606965174;1046.004975124378
